,id,text,created_at,retweet_count,user_screen_name,user_followers_count,user_location,Hashtags
0,1303129303530508288,"RT @WhiteHouse: In just four months, the unemployment rate has gone down by 6.3 percentage points.

It took nearly nine YEARS following the…",2020-09-08 00:33:31,13,commonguy123,8472,South Carolina,[]
1,1303129300925902848,"RT @DanCrenshawTX: THREAD: Unemployment rate is down to 8% today, even though back in June economists were predicting 20%.

Note: Democrat-…",2020-09-08 00:33:30,1487,trumpycat007,2251,USA,[]
2,1303129300812673024,"RT @WhiteHouse: In just four months, the unemployment rate has gone down by 6.3 percentage points.

It took nearly nine YEARS following the…",2020-09-08 00:33:30,13,juan_groodin,162,United States,[]
3,1303129295641104386,"RT @WhiteHouse: In just four months, the unemployment rate has gone down by 6.3 percentage points.

It took nearly nine YEARS following the…",2020-09-08 00:33:29,13,Paul20044150,2077,U.S.A.,[]
4,1303129295510843392,"RT @WhiteHouse: In just four months, the unemployment rate has gone down by 6.3 percentage points.

It took nearly nine YEARS following the…",2020-09-08 00:33:29,13,al_soff,454,"Sydney, Australia",[]
5,1303129295213203456,"#JobsReport 
57.2M Unemployment Claims 
6.34M Infections, Highest in World 
191,060 Deaths, Highest in World
8.4% U… https://t.co/S49oXw1xdT",2020-09-08 00:33:29,0,SeekerofNoble,150,"Texas, USA","[{'text': 'JobsReport', 'indices': [0, 11]}]"
6,1303129294227386368,"RT @WhiteHouse: In just four months, the unemployment rate has gone down by 6.3 percentage points.

It took nearly nine YEARS following the…",2020-09-08 00:33:29,13,BBergland,50,,[]
7,1303129293376098304,"RT @IMFNews: People who work remotely are less likely to lose their jobs, but is this a new phenomenon? Read our #ChartOfTheWeek https://t.…",2020-09-08 00:33:29,6,rjber15,2975,"Wichita, Kansas","[{'text': 'ChartOfTheWeek', 'indices': [113, 128]}]"
8,1303129292004626432,"RT @WhiteHouse: In just four months, the unemployment rate has gone down by 6.3 percentage points.

It took nearly nine YEARS following the…",2020-09-08 00:33:28,13,MaryAnn42788645,126,United States,[]
9,1303129288464572417,"@JoeBiden And then more small businesses will close...
And unemployment will increase.",2020-09-08 00:33:27,0,OakRun89,24,,[]
10,1303129286396784641,@POTUS why can't  the American people get 2.000 like Canada not talking about unemployment,2020-09-08 00:33:27,0,darcelstock2255,327,,[]
11,1303129285612376064,"@RatsEveryHour My pet rat Yang is sick and I don’t have enough money to help her with the vet check up, I already a… https://t.co/Vjo4gqJDZZ",2020-09-08 00:33:27,0,peachyygemini,1416,,[]
12,1303129282202546177,RT @RealFrankJMcCa1: Only an anti American would demonize the celebration of unemployment actually dropping during these times.,2020-09-08 00:33:26,4,Freeatl01016270,469,,[]
13,1303129281237848067,RT @CommerceGov: August Jobs Report: Economy Continues to Rebound As Unemployment Rate Drops https://t.co/1UKfVEQ79R via @whitehouse https:…,2020-09-08 00:33:26,866,Parlez4U,4,,[]
14,1303129278536531968,"RT @WhiteHouse: In just four months, the unemployment rate has gone down by 6.3 percentage points.

It took nearly nine YEARS following the…",2020-09-08 00:33:25,13,MAGAnNoHate,1143,,[]
15,1303129273226715136,"RT @autry_kristin: @CNN Rent is skyrocketing, wages are stagnant unemployment is sky high, and folks are buried under mountains of student…",2020-09-08 00:33:24,29,SaniRattani,349,"Karachi, Pakistan",[]
16,1303129265630834688,"RT @TVNewsHQ: “Look at the Dow go!” Fox Business host reacts as 1.37 million jobs are created according to new figures out this morning, wi…",2020-09-08 00:33:22,2091,Mom3CCC,29989,Texan in OK,[]
17,1303129261314895873,RT @ElizabethEThorp: This Labor Day remember that Trump and the GOP allowed a $600-a-week unemployment benefit for 30 million Americans exp…,2020-09-08 00:33:21,4161,Justamom110,342,,[]
18,1303129258458521600,"@GOPChairwoman @realDonaldTrump #JobsReport 
57.2M Unemployment Claims 
6.34M Infections, Highest in World 
191,060… https://t.co/zZrDLk2CeR",2020-09-08 00:33:20,0,SeekerofNoble,150,"Texas, USA","[{'text': 'JobsReport', 'indices': [32, 43]}]"
19,1303129250262913027,"RT @WhiteHouse: In just four months, the unemployment rate has gone down by 6.3 percentage points.

It took nearly nine YEARS following the…",2020-09-08 00:33:18,13,execulive,10150,Washington ,[]
20,1303129248153075714,"RT @WhiteHouse: In just four months, the unemployment rate has gone down by 6.3 percentage points.

It took nearly nine YEARS following the…",2020-09-08 00:33:18,13,JillJ7854,6169,,[]
21,1303129248152997888,"RT @TVNewsHQ: “Look at the Dow go!” Fox Business host reacts as 1.37 million jobs are created according to new figures out this morning, wi…",2020-09-08 00:33:18,2091,ymchoi2,3202,,[]
22,1303129246261325824,"RT @WhiteHouse: In just four months, the unemployment rate has gone down by 6.3 percentage points.

It took nearly nine YEARS following the…",2020-09-08 00:33:17,13,brendabolen,2314,"Alamo, CA",[]
23,1303129245921587200,"RT @TVNewsHQ: “Look at the Dow go!” Fox Business host reacts as 1.37 million jobs are created according to new figures out this morning, wi…",2020-09-08 00:33:17,2091,ShivamG90885793,17,,[]
24,1303129243824652289,"RT @WhiteHouse: In just four months, the unemployment rate has gone down by 6.3 percentage points.

It took nearly nine YEARS following the…",2020-09-08 00:33:17,13,Beverly77912679,140,,[]
25,1303129243627339776,@JoeBiden ...thus reducing the number of jobs by 20% among minorities and younger Americans. Then you'll open the f… https://t.co/wITLJ8Yzy6,2020-09-08 00:33:17,0,ByrdFrei,21,,[]
26,1303129239479349248,"RT @mimsha: @realDonaldTrump What the fuck? We are in a recession. The GDP has tanked.
The deficit is sky-high. Unemployment is over 8%. #T…",2020-09-08 00:33:16,18,lgwtoday,320,,[]
27,1303129230964928512,"RT @IMFNews: People who work remotely are less likely to lose their jobs, but is this a new phenomenon? Read our #ChartOfTheWeek https://t.…",2020-09-08 00:33:14,6,RafaelFM_55,159,,"[{'text': 'ChartOfTheWeek', 'indices': [113, 128]}]"
28,1303129220780945408,RT @rilakkuntiana: just got denied unemployment after waiting all summer 🥰 i have no income nd am surviving off of this gofundme so please…,2020-09-08 00:33:11,4694,lasaritalee,370,Earth,[]
29,1303129219996811275,"RT @RedPillMaC: ""Democrats keep their states locked down and then they complain about unemployment. Here's a novel idea -- let people go ba…",2020-09-08 00:33:11,964,Stips620,15279,"Ocala, FL  #Trump2020Landslide",[]
30,1303129217396211712,"RT @autry_kristin: @CNN Rent is skyrocketing, wages are stagnant unemployment is sky high, and folks are buried under mountains of student…",2020-09-08 00:33:11,29,vocallyjihoon,32,United States,[]
31,1303129215743729666,Palace hopes downward unemployment rate will continue as economy reopens https://t.co/J8wY9axAmP via @inquirerdotnet,2020-09-08 00:33:10,0,antonsheker,1959,makati,[]
32,1303129204263915520,"RT @KamalaHarris: Trump keeps saying the economy is improving—but the truth is, only the wealthiest are reaping the benefits. Meanwhile:
→O…",2020-09-08 00:33:07,11908,JDCorreia2,0,,[]
33,1303129193287503874,"@TVNewsHQ @realDonaldTrump @JesseBWatters Trump promised to make USA great

What happened

Pandemic runs wild
Econo… https://t.co/rCp8015F6Q",2020-09-08 00:33:05,0,luvthedouchebag,4,,[]
34,1303129183460167680,"RT @TVNewsHQ: “Look at the Dow go!” Fox Business host reacts as 1.37 million jobs are created according to new figures out this morning, wi…",2020-09-08 00:33:02,2091,Josef86735145,2241,@josef2020 on parlor ,[]
35,1303129183351181313,"RT @TVNewsHQ: “Look at the Dow go!” Fox Business host reacts as 1.37 million jobs are created according to new figures out this morning, wi…",2020-09-08 00:33:02,2091,LisaBlanton12,211,,[]
36,1303129183263043584,"RT @RevDrBarber: Jobs in the U.S. are unevenly distributed, because of systemic racism. Take a look at the current unemployment rates by ra…",2020-09-08 00:33:02,46,gilmored85,1002,"New York, NY",[]
37,1303129182113685504,@Kirk_925 @MAGA2ARIGHTS Yeah I think your right! ID these people cut out all aid and unemployment!,2020-09-08 00:33:02,0,HandlebarUsher,921,"Las Vegas, NV",[]
38,1303129180268363776,"In just four months, the unemployment rate has gone down by 6.3 percentage points.

It took nearly nine YEARS follo… https://t.co/zwgL6mQPrR",2020-09-08 00:33:02,13,WhiteHouse,24640545,"Washington, D.C.",[]
39,1303129176262750209,"RT @Sophieresists: So, watching MSNBC and they’re discussing how Trump bests Biden in polls ONLY on his handling of the economy. How? Don t…",2020-09-08 00:33:01,1,margot__pi,193,,[]
40,1303129167043715072,"@mramitpatel I'm definitely not certain these companies have rejected me based on skills/experience, but I'll equat… https://t.co/Ix2PHMYgL4",2020-09-08 00:32:59,0,rodrigotellom,1719,NYC,[]
41,1303129166603141122,RT @ElizabethEThorp: This Labor Day remember that Trump and the GOP allowed a $600-a-week unemployment benefit for 30 million Americans exp…,2020-09-08 00:32:58,4161,WMKauai,916,"Hawaii, USA",[]
42,1303129160894869505,OBiden’s unemployment rate was 4.7% when you stole the presidency. You’ve doubled that. #TrumpIsALoser https://t.co/Ww9v2DTuTx,2020-09-08 00:32:57,0,BannonJudith,231,"Pennsylvania, USA","[{'text': 'TrumpIsALoser', 'indices': [88, 102]}]"
43,1303129160211140608,"RT @lizabeth_knight: @RepDWStweets As one of your constituents, thanks for supporting #flightattendants &amp; other #aviation workers.✈ We need…",2020-09-08 00:32:57,3,Wunsa7,47,Florida,"[{'text': 'flightattendants', 'indices': [86, 103]}, {'text': 'aviation', 'indices': [116, 125]}]"
44,1303129159015837696,"RT @TVNewsHQ: “Look at the Dow go!” Fox Business host reacts as 1.37 million jobs are created according to new figures out this morning, wi…",2020-09-08 00:32:57,2091,alphafluffy01,3501,NJ,[]
45,1303129153772847111,"RT @TVNewsHQ: “Look at the Dow go!” Fox Business host reacts as 1.37 million jobs are created according to new figures out this morning, wi…",2020-09-08 00:32:55,2091,Leisa1D28,2761,,[]
46,1303129140313255936,"RT @donwinslow: .@MittRomney 

190,000 dead and you're tweeting about hair cuts.

U.S. Soldiers called ""losers"" by Trump and you're tweetin…",2020-09-08 00:32:52,773,CLWagner73,1176,"Prescott, AZ",[]
47,1303129124408422400,RT @ElizabethEThorp: This Labor Day remember that Trump and the GOP allowed a $600-a-week unemployment benefit for 30 million Americans exp…,2020-09-08 00:32:48,4160,KellyLWilliams,1686,"Las Vegas, NV",[]
48,1303129117991280641,RT @bpsycho1: Anyone got 60 bucks so I can pay my sewer bill? The place I was supposed to get on at is dragging ass &amp; any unemployment paym…,2020-09-08 00:32:47,9,Listeningmostly,430,northern Colorado,[]
49,1303129116800057345,"RT @TVNewsHQ: “Look at the Dow go!” Fox Business host reacts as 1.37 million jobs are created according to new figures out this morning, wi…",2020-09-08 00:32:47,2091,tina10004359,2497,"Houston, TX",[]
50,1303129116531666946,RT @kyngkhokhas: Listen to this before u defend clicks through poverty and unemployment #Clicks #clicksmustfall #ClicksShutdown https://t.c…,2020-09-08 00:32:47,12711,kelemonamodi,211,"Johannesburg, South Africa","[{'text': 'Clicks', 'indices': [88, 95]}, {'text': 'clicksmustfall', 'indices': [96, 111]}, {'text': 'ClicksShutdown', 'indices': [112, 127]}]"
51,1303129115625689089,"RT @RBReich: I don't know who needs to hear this, but the GOP including another $21,300,000,000 for the Pentagon in a bill that refuses to…",2020-09-08 00:32:46,2734,ImMissBehaving,1081,Here and There😉,[]
52,1303129110089207808,"RT @JStein_WaPo: % of jobless workers unable to pay for basic expenses - food, clothing, housing, transportation

June: 19%
July: 27%
Augus…",2020-09-08 00:32:45,1735,leartulaj,146,,[]
53,1303129109640474625,RT @atrupar: Watch this clip while reminding yourself that the unemployment rate has nearly doubled since Trump took office. He's peeing on…,2020-09-08 00:32:45,1095,BAR_Engineer,2085,"Columbus, OH",[]
54,1303129099834023936,RT @ElizabethEThorp: This Labor Day remember that Trump and the GOP allowed a $600-a-week unemployment benefit for 30 million Americans exp…,2020-09-08 00:32:43,4161,rainonthefarm,15,,[]
55,1303129099091628032,"RT @DrWilliams: 11/12 If you agree, sign this petition to show that violence against women will not be tolerated any longer, and that altho…",2020-09-08 00:32:42,24,LouPollard,1948,Steak & Kidney,[]
56,1303129086752063489,RT @ElizabethEThorp: This Labor Day remember that Trump and the GOP allowed a $600-a-week unemployment benefit for 30 million Americans exp…,2020-09-08 00:32:39,4161,iamShariSanders,61,"Little Rock, AR",[]
57,1303129083467894784,RT @TheKingCenter: “The labor movement was the principal force that transformed misery and despair into hope and progress. Out of its bold…,2020-09-08 00:32:39,91,burtonlee,3733,"Silicon Valley, CA",[]
58,1303129083090530306,"RT @JStein_WaPo: % of jobless workers unable to pay for basic expenses - food, clothing, housing, transportation

June: 19%
July: 27%
Augus…",2020-09-08 00:32:39,1735,Jensky620,497,,[]
59,1303129081081405440,"RT @IMFNews: People who work remotely are less likely to lose their jobs, but is this a new phenomenon? Read our #ChartOfTheWeek https://t.…",2020-09-08 00:32:38,6,renae___a,249,Jamaica,"[{'text': 'ChartOfTheWeek', 'indices': [113, 128]}]"
60,1303129074513006593,@jackk_boltonn @lslmysyxh @usopen @FTiafoe Really.  How about all the black people who kill black people? The USA i… https://t.co/KcZPs3vuZS,2020-09-08 00:32:36,0,chicagotech27,214,"Charleston, SC",[]
61,1303129065168265216,"RT @JStein_WaPo: % of jobless workers unable to pay for basic expenses - food, clothing, housing, transportation

June: 19%
July: 27%
Augus…",2020-09-08 00:32:34,1735,EmployedButDumb,371,Orion,[]
62,1303129064073560065,"RT @TVNewsHQ: “Look at the Dow go!” Fox Business host reacts as 1.37 million jobs are created according to new figures out this morning, wi…",2020-09-08 00:32:34,2091,LJustmabel,56,,[]
